IlmnID,Relation_to_UCSC_CpG_Island,CHR,Infinium_Design_Type
cg13640769,,14,I
cg27422240,,1,II
cg04123347,S_Shelf,X,II
cg10543797,N_Shelf,1,I
cg11064966,,5,II
cg06812278,Island,1,II
cg16463557,,17,II
cg07166546,,14,II
cg27116944,,8,II
cg20625042,,1,II
cg08604549,S_Shelf,1,II
cg03755535,S_Shore,3,II
cg04136344,,2,II
cg03630015,N_Shore,2,II
cg18231361,,19,II
cg00951972,Island,3,II
cg14159895,N_Shore,6,II
cg17254961,,4,I
cg02606469,,2,II
cg23925773,,15,II
cg16289175,,3,II
cg17227235,,X,II
cg08150843,Island,19,II
cg26832427,,8,I
cg16792062,,11,II
cg00836031,,20,II
cg13668808,,20,II
cg24716692,,5,II
cg15892341,,3,II
cg04907802,,11,II
cg15202282,,5,II
cg13946128,,1,II
cg25410291,,1,II
cg22604391,,20,II
cg22971191,,13,II
cg22180434,N_Shore,15,II
cg26037017,N_Shore,12,II
cg01486979,,5,II
cg20506085,,10,II
cg17019439,,8,II
cg05460980,Island,13,I
cg13598109,,9,II
cg07252967,,20,II
cg02995710,S_Shore,3,II
cg13584383,Island,17,II
cg22254135,,17,II
cg20271382,,11,II
cg05472349,Island,17,II
cg22985382,,5,II
cg22219699,,22,II
cg06167556,S_Shore,4,II
cg10101783,,13,II
cg20311754,N_Shelf,13,II
cg02892043,,2,II
cg17025477,S_Shore,14,II
cg21045575,,13,II
cg24226371,,15,II
cg03239914,N_Shore,5,II
cg05038485,Island,9,II
cg21271423,N_Shore,19,II
cg08686092,S_Shore,22,II
cg26953462,Island,18,II
cg08980986,,15,II
cg01009664,Island,3,II
cg25252777,Island,19,II
cg08295608,Island,14,II
cg17090611,S_Shelf,8,II
cg02558539,,4,II
cg09753899,,8,II
cg07575437,S_Shore,2,II
cg05670408,Island,1,II
cg07493435,Island,7,I
cg15581185,S_Shore,11,I
cg01379456,,5,II
cg22822630,,13,II
cg05631519,,1,II
cg12463140,N_Shore,19,II
cg22975913,N_Shore,11,II
cg05946353,,17,II
cg17121286,,4,II
cg11496825,,13,II
cg05520155,,3,II
cg15602037,,10,II
cg11749619,S_Shore,22,II
cg09371284,,1,II
cg19415587,,1,II
cg15919561,Island,9,II
cg04375492,Island,17,I
cg00379348,Island,19,II
cg11977100,,1,II
cg16417447,N_Shore,5,II
cg03170698,Island,2,II
cg04135848,,6,II
cg07904329,,11,II
cg22364803,,8,II
cg00995457,,14,II
cg21854332,,1,II
cg05618606,N_Shore,9,II
cg24194775,N_Shore,9,II
cg12426214,,20,II
cg11410237,,19,II
cg09927529,N_Shore,12,II
cg15623334,Island,3,II
cg17132501,,2,II
cg17360674,Island,16,II
cg13150094,N_Shore,6,II
cg02411354,,3,II
cg26225726,,7,II
cg03565187,,2,II
cg23046918,S_Shelf,2,II
cg02955940,S_Shore,4,II
cg05776388,N_Shore,17,II
cg01454148,,17,II
cg23406451,,18,II
cg21552653,Island,19,II
cg04632958,,X,II
cg21851693,Island,20,II
cg16325610,N_Shore,12,II
cg11887385,,3,II
cg02496065,S_Shelf,7,II
cg02275658,,1,II
cg15538767,,5,II
cg14303674,N_Shore,20,II
cg10185299,,22,II
cg25818697,S_Shore,11,II
cg00039385,Island,19,II
cg20236089,,6,II
cg01055462,N_Shore,12,II
cg00660661,,6,II
cg26360197,S_Shelf,17,II
cg17985789,,21,II
cg04277097,,1,II
cg02238229,,14,II
cg10300891,,11,II
cg06259358,,3,II
cg17797874,,6,II
cg10975000,N_Shore,13,II
cg17918184,,2,II
cg15491911,Island,6,I
cg01832079,,1,II
cg14222869,,5,II
cg16764368,,18,II
cg15164711,,16,II
cg07048608,,1,II
cg04569837,Island,5,II
cg26232328,Island,4,I
cg26365014,N_Shore,10,I
cg09971717,,1,II
cg16213164,,12,II
cg00754323,,17,II
cg09664204,,6,II
cg17570350,,4,II
cg18202456,,1,II
cg23411397,,15,II
cg00023728,,4,II
cg17078152,S_Shore,3,II
cg18811916,,4,II
cg02711579,N_Shore,16,II
cg03744187,N_Shore,1,II
cg10667134,,10,II
cg08425543,,2,II
cg15556943,Island,20,II
cg11749672,Island,19,I
cg09217079,Island,9,II
cg15817390,,6,II
cg07711067,,19,II
cg11283860,S_Shore,1,II
cg12246960,,15,II
cg24953922,Island,1,II
cg09344629,S_Shore,2,I
cg03563694,N_Shore,16,II
cg05052396,,11,II
cg11932470,,4,II
cg11951808,,1,II
cg08457725,,5,II
cg08777654,S_Shore,15,II
cg02550660,,13,II
cg25046661,,3,II
cg07436429,,15,II
cg00902674,Island,3,II
cg21603615,Island,2,II
cg08864035,N_Shore,1,II
cg24503881,N_Shore,18,II
cg11527168,,12,II
cg12650353,,20,II
cg02328016,,15,II
cg02575764,,12,II
cg18142987,,11,II
cg03693462,N_Shelf,12,II
cg16094024,S_Shore,1,II
cg00278986,,1,II
cg02647869,,21,II
cg20004634,N_Shore,22,I
cg23464232,,10,II
cg10934001,,22,II
cg18230558,,X,II
cg05149279,,6,II
cg24527776,,2,II
cg12656272,,3,II
cg10009870,,1,II
cg11519836,S_Shelf,10,I
cg09419900,N_Shore,10,II
cg10642175,,14,II
cg12683641,,19,II
cg12687006,,11,II
cg14594737,,2,II
cg03420580,,3,II
cg18072003,,12,II
cg05597450,,21,II
cg01375693,,16,II
cg15049533,,7,II
cg15259060,N_Shore,2,II
cg11732197,,10,II
cg17545805,S_Shore,10,II
cg14522232,N_Shore,19,II
cg11488708,,12,II
cg01077938,,8,II
cg01740922,N_Shelf,9,II
cg12413119,,4,II
ch.4.27623090R,,4,II
cg10588503,,13,II
cg03052162,N_Shore,12,II
cg09450735,Island,19,II
cg07657521,Island,6,I
cg13945148,S_Shore,10,II
cg18976177,S_Shelf,7,II
cg00954186,,2,II
cg00655302,S_Shelf,16,II
cg15329179,S_Shore,5,II
cg09867184,Island,1,I
cg21202178,,2,II
cg06254820,,14,II
cg21871669,,12,II
ch.7.2660938R,,7,II
cg19294311,N_Shore,15,II
cg01492649,S_Shore,11,II
cg26186239,Island,20,II
cg01802444,,20,II
cg00079056,,9,II
cg08660201,S_Shore,1,II
cg23263791,,16,II
cg06952396,,18,II
cg15362067,,9,II
cg05000435,,9,II
cg14494018,,6,II
cg08320351,,6,II
cg20424398,Island,19,II
cg19083577,,1,II
cg00449899,Island,8,I
cg09012125,,11,II
cg17329202,S_Shore,13,II
cg01565755,,2,II
cg01962062,,18,II
cg01025794,,6,II
cg17210124,,16,II
cg01920239,,5,II
cg20577142,,8,II
cg06868100,S_Shore,7,II
cg19013142,,X,II
cg03255241,Island,1,II
cg06603074,N_Shore,18,II
cg11491436,,4,II
cg22701846,,1,II
cg10003761,Island,1,II
cg19659833,,1,II
cg10066188,,2,II
cg08729279,,2,II
cg06570674,,4,II
cg08642111,,8,II
cg24488435,,12,II
cg22040301,N_Shelf,11,II
cg26378115,,3,II
cg15011019,,21,II
cg04765144,,2,II
cg20256498,S_Shelf,19,II
cg19904349,,1,II
cg20374492,,14,II
cg14078615,,10,II
cg19889291,S_Shore,2,II
cg24617992,,6,II
cg12935350,,2,II
cg24030804,,11,II
cg06698714,,1,II
cg08653992,,8,II
cg21576728,,1,II
cg27630169,S_Shore,1,II
cg19547210,S_Shelf,22,II
cg03390723,N_Shore,10,II
cg25457607,,6,II
cg01009434,,11,II
cg00075975,N_Shore,1,II
cg08673194,,17,II
cg20348932,,4,II
cg14937293,,1,II
cg05429515,,3,II
cg18700633,,2,II
cg23990682,,13,II
cg25089598,N_Shelf,11,II
cg22797653,,3,II
cg20557104,,19,II
cg20748559,N_Shelf,19,II
cg00000292,N_Shore,16,II
cg23910743,Island,4,II
cg05328761,,4,II
cg12055053,,17,II
cg17859668,,3,II
cg17047158,,1,II
cg21237360,S_Shore,16,II
cg24833566,,4,II
cg11412364,,19,II
cg12537309,N_Shore,3,II
cg10496919,,15,II
cg01166219,,20,II
cg16520030,,X,II
cg01428518,,9,II
cg25046432,,8,II
cg05374982,,1,II
cg21300460,,19,II
cg02116747,,3,II
cg11780429,,14,II
cg13503364,,15,II
cg01471034,,20,II
cg15903955,,8,II
cg20478089,S_Shore,14,II
cg18899516,,5,II
cg20431092,N_Shore,6,I
cg15958422,,2,II
cg00006414,N_Shore,7,II
cg23692401,,6,II
cg18957078,,5,II
cg09257796,Island,15,II
cg22875199,,22,II
cg05977193,S_Shore,20,II
cg00136054,,8,II
cg24351124,,7,II
cg21393359,,9,II
cg12227762,Island,14,II
cg07037409,,2,II
cg10843887,N_Shore,2,II
cg24998879,,6,II
cg07896967,,11,II
cg05905155,N_Shelf,16,II
cg08379897,,2,II
cg19391944,,8,II
cg12499827,,2,I
cg19714347,,6,II
cg18408873,S_Shore,12,II
cg09092280,,8,II
cg17987636,,6,II
cg01447914,Island,11,II
cg07239018,Island,16,II
cg23555866,,2,II
cg17288694,Island,10,I
cg00398527,,12,II
cg13613343,N_Shore,15,II
cg21551725,N_Shore,8,II
cg12934481,,16,II
cg12919006,Island,2,II
cg09161738,,5,II
cg19846707,,3,II
cg25376491,,5,II
cg00710286,S_Shore,15,II
cg20815118,,10,II
cg02372001,,13,II
cg04149405,N_Shelf,11,II
cg15622655,N_Shelf,12,II
cg25830612,,22,II
cg11135772,,14,II
cg23410738,Island,2,II
cg13053151,S_Shore,4,II
cg02636899,,1,II
cg12475748,,2,II
cg02221819,N_Shore,17,II
cg04584275,,2,II
cg24957532,,5,II
cg08897688,S_Shelf,12,II
cg17890873,,12,II
cg10796788,,15,II
cg20438445,S_Shelf,17,II
cg06071246,,16,II
cg20455669,N_Shore,3,I
cg17944645,S_Shore,17,II
cg13645526,,3,II
cg07732247,,9,II
cg14838972,S_Shelf,18,II
cg08093226,Island,3,I
cg14327738,,4,II
cg12967657,N_Shore,14,II
cg25938320,S_Shelf,22,II
cg00378950,,X,I
cg24505713,N_Shelf,11,II
cg20066627,Island,20,II
cg21529871,,3,II
cg10004964,,1,II
cg10859789,,2,II
cg14384960,,4,II
cg15413177,Island,16,II
cg17138019,,15,II
cg04136490,,14,II
cg25061811,,20,II
cg04594013,N_Shore,X,II
cg18196463,S_Shore,5,I
cg01891252,Island,1,II
cg07811498,N_Shore,22,II
cg06710648,S_Shore,1,II
cg17329422,N_Shelf,6,II
cg09872361,,7,II
cg13976370,S_Shore,1,II
cg01958132,N_Shelf,10,II
cg04887475,Island,7,II
cg24338076,,2,II
cg23770776,,6,II
cg17813618,,5,II
cg02332491,,12,II
cg17661881,S_Shore,1,II
cg24378503,,9,II
cg14035231,S_Shore,1,II
cg26209441,,1,II
cg03915569,,6,II
cg02768101,Island,4,II
cg13708222,N_Shelf,14,II
cg07114634,S_Shore,2,II
cg07442244,,10,II
cg18043827,,12,II
cg27480179,N_Shore,X,II
cg14059420,N_Shore,11,I
cg12853634,,X,II
cg20346869,,6,II
cg27221977,,11,II
cg24153616,,5,II
cg17712224,Island,8,II
cg09539045,Island,15,I
cg07914589,,18,II
cg25644624,,6,II
cg07453748,,10,II
cg23024254,S_Shelf,1,II
ch.14.1755952R,S_Shore,14,II
cg22587414,N_Shore,6,II
cg09780767,S_Shelf,16,II
cg14706260,,5,II
cg07473564,,3,II
cg18596689,,6,II
cg27392173,,4,II
cg25248709,,9,II
cg20996271,,13,II
cg15308388,,1,II
cg18861189,Island,6,II
cg20255906,S_Shore,6,II
cg14552947,,10,II
cg23623860,N_Shore,15,II
cg00065385,,9,II
cg08048895,,7,II
cg27039534,Island,10,II
cg20636382,S_Shore,15,II
cg07396581,S_Shelf,1,II
cg15976200,,13,II
cg07465864,N_Shore,5,II
cg01729008,,5,II
ch.9.319861R,,9,II
cg16564271,,X,II
cg07092880,,11,II
cg15694144,,10,II
cg05060240,N_Shelf,8,II
cg12981901,,4,II
cg06369261,N_Shore,8,II
cg02585479,,11,II
cg09998973,,13,II
cg12467194,,11,II
cg17605847,N_Shore,2,II
cg09264030,,7,II
cg07817681,,8,II
cg01074409,Island,8,II
cg05570786,,5,II
cg23182200,,8,II
cg06611931,S_Shelf,14,II
cg04033761,,18,II
cg06905789,S_Shore,14,II
cg15860510,,1,II
cg15781176,,8,II
cg13600373,,10,II
cg17416280,Island,17,I
cg14018461,,20,II
cg24317478,S_Shore,9,II
cg25209112,,11,II
cg04945192,,2,II
cg15342441,N_Shelf,3,II
cg09803521,S_Shore,1,II
cg24687229,Island,17,II
cg08411463,N_Shelf,11,II
cg15555206,,6,II
cg14705521,N_Shore,10,II
cg24107979,Island,18,I
cg09458096,,5,II
cg22670868,,22,II
cg23610420,Island,1,II
cg16810272,S_Shore,7,II
cg13273963,,1,II
cg21560722,,11,II
cg17977699,,9,II
cg04122320,S_Shelf,7,II
cg21401320,,14,II
cg15347912,,4,II
cg03686111,,8,II
cg18137921,,1,II
cg26608798,Island,16,II
cg09821651,,8,II
cg04773669,S_Shelf,11,II
cg24245352,,22,II
cg09163035,,17,II
cg10898184,,7,II
cg01868616,,11,II
cg10636925,,12,II
cg20178107,,7,II
cg12583336,,22,II
cg25303023,,6,I
cg23076760,,16,II
cg08035872,,3,II
cg23570290,,7,II
cg05017322,S_Shore,2,II
cg23274030,S_Shore,10,II
cg27005118,N_Shore,17,II
cg10827094,,12,I
cg03416845,,2,II
cg23806196,,1,II
cg05494740,N_Shore,16,II
cg11068688,,19,II
cg22189442,,20,II
cg02531929,,10,II
cg06521148,,11,II
cg19593957,Island,X,II
cg06113125,,18,II
cg26420861,,7,II
cg14585906,S_Shore,9,II
cg05597183,,18,II
cg12014863,,8,II
cg21523601,,5,II
cg09075327,,8,II
cg09140665,,11,II
cg14304960,,8,II
cg21114453,,1,II
cg05766986,,11,I
cg04003106,S_Shore,5,II
cg23301563,S_Shelf,2,II
cg16604066,N_Shelf,5,II
cg23363877,Island,17,II
cg09118619,N_Shore,17,II
cg23541792,,9,II
cg25130831,,12,II
cg18685879,,3,II
cg10858687,,11,II
cg18604929,N_Shelf,19,II
cg10507304,,6,II
cg05832496,N_Shore,6,II
cg06854637,N_Shelf,7,II
cg12593431,S_Shore,13,I
cg03936870,,2,II
cg06661671,Island,22,I
cg11472521,Island,17,II
cg10276077,,10,II
cg13471974,,16,II
cg17620694,,11,II
cg02151273,,3,II
cg05139301,Island,9,II
cg04447424,Island,18,I
cg19369529,,1,II
cg13965201,S_Shelf,1,II
cg01783736,,2,II
cg14234176,Island,8,II
cg12686317,Island,15,I
cg23679321,N_Shore,17,II
cg26029734,N_Shore,11,II
cg16774699,,5,II
cg20552882,N_Shelf,22,II
cg10438879,,1,II
cg10864501,S_Shore,22,II
cg12124139,,11,II
cg17756023,,X,II
cg20468939,N_Shore,19,II
cg11830220,,8,II
cg04173561,N_Shore,2,II
cg14026602,Island,16,II
cg16978104,,14,II
cg13212048,,17,II
cg17051086,,19,II
cg01112035,,2,II
cg13324448,,3,II
cg07779387,Island,2,II
cg00873872,,X,II
cg23429664,S_Shelf,10,II
cg01053282,,13,II
cg04522529,,11,II
cg06227638,,7,II
cg18809093,,11,II
cg13555278,,1,II
cg04737514,,19,II
cg12847345,,5,II
cg25348294,,3,II
cg16945072,S_Shore,8,II
cg01319763,,10,II
cg15191795,,4,II
cg15552491,N_Shelf,11,II
cg04643444,N_Shore,1,II
cg17642595,,1,II
cg23797621,,12,II
cg22478519,Island,14,II
cg11903880,N_Shore,1,II
cg00631759,N_Shore,5,II
cg26288991,N_Shore,10,II
cg10668363,S_Shelf,19,II
cg22233425,,4,II
cg03010408,,11,II
cg15143752,,17,II
cg05582098,,22,II
cg08237348,S_Shore,6,II
cg15570545,S_Shore,19,II
cg03033721,,4,II
cg25931836,,12,II
cg14866978,,5,II
cg08671647,Island,4,II
cg13578777,,1,II
cg01569173,N_Shore,8,II
cg00224343,,9,II
cg06531767,Island,1,II
cg09303884,N_Shelf,22,II
cg02585849,N_Shelf,12,II
cg23908698,Island,11,II
cg05056137,,1,II
cg02268965,,2,II
cg27514224,N_Shore,9,II
cg01065905,,1,II
cg02178043,,13,II
cg22297661,N_Shore,17,II
cg26188226,,6,II
cg07422207,,12,II
cg12031740,,17,II
cg02825185,,7,II
cg09605317,S_Shore,16,II
cg00783905,N_Shore,6,II
cg11894324,,1,II
cg17730402,,5,II
cg20728419,,11,II
cg18620073,,18,II
cg06317351,N_Shore,1,II
cg06668495,,3,II
cg02547167,S_Shore,X,II
cg14423947,S_Shore,3,II
cg25433157,,2,I
cg24015220,,8,II
cg00440217,,6,II
cg17910380,,13,II
cg03256310,Island,6,I
cg19680595,,2,II
cg05157961,,2,II
cg04173760,,1,II
cg08953908,,3,II
cg00499509,Island,1,II
cg19599856,,3,II
cg16828404,,1,II
cg22034203,,1,II
cg25924977,,6,II
cg13397939,,9,II
cg03545101,,4,II
cg09450352,S_Shore,7,II
cg26499613,,8,II
cg11645999,,6,II
cg05151268,,8,II
cg10572337,,10,II
cg06422737,,19,II
cg08168175,,12,II
cg09958559,Island,16,II
cg13685563,,2,II
cg24505127,,12,II
cg11816229,,17,II
cg26146316,,2,II
cg14114509,Island,11,II
cg15639684,Island,1,II
cg26196265,,5,II
cg21823920,,14,II
cg01451437,,X,II
cg16508692,,21,II
cg00795812,N_Shelf,2,II
cg17254945,,10,II
cg18664478,,5,II
cg24361201,S_Shore,7,II
cg22228407,,4,II
cg24106020,Island,1,II
cg26715908,,15,II
cg12390524,,3,II
cg16742914,,4,II
cg10782019,S_Shore,1,II
cg05676959,N_Shelf,12,II
cg04643524,N_Shelf,16,II
cg04908210,N_Shore,2,II
cg02174232,Island,3,II
cg25596754,,6,II
cg18530920,,5,II
cg03265360,,6,II
cg12463199,Island,20,II
cg09307564,Island,14,II
cg15265970,Island,12,II
cg20753620,N_Shore,11,II
cg06471296,Island,6,II
cg08594351,,1,II
cg24826988,Island,2,II
cg18202127,,7,I
cg17087589,,12,II
cg12581327,,18,II
cg12417815,,5,II
cg21733529,,7,II
cg07207704,,X,II
cg02829285,,17,II
cg12792157,Island,1,II
cg00033773,N_Shore,19,II
cg05155793,,11,II
cg06051049,N_Shelf,4,II
cg18548400,N_Shelf,3,II
cg14378889,,7,II
cg07493760,N_Shelf,5,II
cg03299475,,3,II
cg21160279,N_Shelf,X,II
cg26222035,,17,II
cg13080904,Island,7,II
cg11315153,S_Shore,6,II
cg06693048,,8,II
cg03732846,,18,II
cg17111800,,12,II
cg04787775,,15,II
cg07598115,,4,II
cg07709903,,5,II
cg18314193,,20,II
cg18890273,,1,II
cg07405257,N_Shelf,13,II
cg05624388,,8,II
cg25751878,,5,II
cg16692861,,2,II
cg09312041,,7,II
cg00941280,,3,II
cg10576139,S_Shore,19,II
cg10388430,S_Shore,10,II
cg09840619,S_Shore,19,II
cg03008515,,14,II
cg08202226,S_Shore,1,II
cg05901786,,19,II
cg27543308,,12,II
cg06952893,,12,II
cg07970146,,2,II
cg00055510,,2,II
cg13518677,,4,II
cg03376310,N_Shore,4,II
cg08597450,,19,II
cg00934178,,5,II
cg06778633,S_Shelf,5,II
cg26063962,,5,II
cg03208161,,5,II
cg21983341,,17,II
cg09071762,Island,6,II
cg15079124,,7,II
cg03173362,,6,II
cg05300248,,18,II
cg17682462,,10,II
cg22158852,S_Shore,8,II
cg24872939,,2,II
cg08122528,Island,9,I
cg07121640,Island,3,I
cg21602097,,15,II
cg05469421,Island,12,II
cg08108680,,3,II
cg24575266,S_Shelf,5,II
cg23856299,Island,19,II
ch.4.2115405R,,4,II
cg24131783,,3,II
cg23858731,,12,II
cg09323350,,1,II
cg20713893,,6,II
cg19706868,,6,II
cg01668099,N_Shelf,11,II
cg15094117,,5,II
cg20204617,,17,II
cg20438689,,14,II
cg03488888,,16,II
cg00759146,,1,II
cg15507535,N_Shore,10,II
cg14787188,,6,II
cg00524220,S_Shore,19,II
cg26377907,,11,II
cg19572051,,10,II
cg16852892,N_Shore,8,II
cg02245612,Island,19,II
cg25326319,,7,II
cg08925512,,1,II
cg16703914,,6,II
cg04070358,,10,II
cg26920968,,13,II
cg25027885,Island,14,II
cg01270475,,11,II
cg15189210,,8,II
cg14677380,,3,II
cg20027191,,19,II
cg19415796,,1,II
cg17290446,Island,12,II
cg25757737,Island,3,II
cg22935921,Island,15,I
cg06144505,S_Shore,3,II
cg09762562,,5,II
cg04949225,,13,II
cg03398689,,13,II
cg10250355,Island,22,II
cg12744061,,1,II
cg20386404,,1,II
cg15122603,N_Shore,5,II
cg22400959,N_Shore,1,II
cg21577147,,10,II
cg09851620,,1,II
cg16496448,S_Shore,12,II
cg07850604,Island,14,II
cg10710052,,14,II
cg21636401,S_Shore,21,II
cg25701856,,X,II
cg14081456,,1,II
cg07531769,,3,II
cg09109008,,18,II
cg05416643,Island,18,II
cg14992910,,5,II
cg24225763,Island,12,I
cg13487220,,2,II
cg06615335,Island,7,II
cg21556281,N_Shore,7,II
cg20772125,Island,12,II
cg17280408,,12,II
cg26116732,Island,4,II
cg16986928,S_Shelf,2,II
cg03239202,Island,2,II
cg09850687,,6,II
cg11966070,Island,11,II
cg09725090,Island,12,II
cg12460254,,1,II
cg19701560,N_Shore,14,II
cg01912361,,X,II
cg24433378,,15,II
cg02913845,N_Shore,19,II
cg15794571,S_Shore,19,II
cg17793251,,16,II
cg13019856,,2,II
cg14084826,Island,1,II
cg12178385,S_Shore,16,II
cg17875156,Island,17,II
cg19347790,S_Shore,12,II
cg26509146,Island,13,I
cg18758976,,6,II
cg12963617,,19,II
cg21522797,,16,II
cg16599830,N_Shore,7,II
cg25830945,S_Shelf,10,II
cg11122634,,7,II
cg07389322,Island,12,II
cg03315270,,8,II
cg10627389,,1,II
cg24694480,S_Shore,11,II
cg09394843,,3,II
cg04807696,,12,II
cg21301655,S_Shore,17,I
cg10066305,Island,10,I
cg10222947,N_Shore,1,II
cg11001177,,19,II
cg10347224,,1,II
cg06303626,,19,II
cg15470658,N_Shelf,12,II
cg13269964,,17,II
cg02831295,,8,II
cg04047236,,4,II
cg12019717,S_Shore,15,II
cg18438345,,6,II
cg03804664,,6,II
cg00517535,,4,II
cg08717672,,14,II
cg26431298,Island,1,II
cg18898103,,11,II
cg00859792,,6,II
cg23451876,,7,II
cg24195971,,8,II
cg18515031,,10,II
cg09023833,,6,II
cg08922075,S_Shore,1,II
cg23809624,,2,I
cg15108537,N_Shelf,10,II
cg21740964,Island,6,II
cg17690539,,X,II
cg14837165,Island,15,II
cg07621697,,5,II
cg11453601,N_Shore,5,II
cg11059239,Island,20,I
cg00260259,,17,II
cg18699330,,19,II
cg20167290,,11,II
cg07016995,,17,II
cg05398637,,11,II
cg14328852,,4,II
cg09961085,,18,II
cg21396949,,10,II
cg15861646,,11,II
cg22481695,S_Shelf,7,II
cg09595020,,7,II
cg10930366,,14,II
cg04200192,,3,II
cg21069019,S_Shore,2,I
cg06228857,,15,II
cg26096983,N_Shelf,19,II
cg18724215,S_Shore,15,II
cg00548971,,7,II
cg21346528,,8,II
cg02909379,Island,10,II
cg15265667,,21,II
cg15834632,S_Shore,1,II
cg03922395,,6,II
cg21042673,N_Shore,4,II
cg06397163,,4,II
cg10072434,,13,II
cg21770655,,10,II
cg25086501,N_Shore,5,I
cg16413777,N_Shore,17,II
cg04744379,N_Shelf,19,II
cg10122079,S_Shore,1,II
cg08788611,,X,II
cg12037162,,10,II
cg21238457,Island,11,II
cg01554383,N_Shore,8,II
cg27197835,,10,II
cg13169968,S_Shore,1,II
cg14090154,N_Shelf,12,II
cg13393835,,1,II
cg18269963,N_Shore,4,II
cg26814712,Island,15,II
cg13194341,Island,19,II
cg23619769,Island,11,II
cg22376827,N_Shore,3,II
cg24810654,,22,II
cg04645039,Island,17,II
cg08607082,Island,19,II
cg25806353,,1,II
cg24487361,Island,1,I
cg10383424,,6,II
cg16061399,,20,II
cg24269192,Island,5,II
cg10812836,N_Shore,17,II
cg11483048,,20,II
cg01015062,N_Shore,21,II
cg12317144,,3,II
cg01459854,N_Shore,14,II
cg00716025,,14,I
cg16673477,S_Shore,19,II
cg19223520,,10,II
cg17821385,N_Shore,11,II
cg25900207,,16,II
cg00172846,,13,II
cg25643363,,7,II
cg07300360,Island,7,II
cg08246405,,5,II
cg07277831,,6,II
cg08491668,N_Shore,6,II
cg06177255,S_Shore,4,II
cg08655413,,20,II
cg16524385,,5,II
cg05519641,N_Shore,11,II
cg11772914,,16,II
cg07392319,,7,II
cg27601582,N_Shore,19,II
cg22147548,,21,II
cg21632230,,22,II
cg07285209,Island,16,II
cg16007628,Island,17,II
cg14874934,Island,16,II
cg21418629,S_Shore,8,II
cg23846114,S_Shelf,X,II
cg10266188,S_Shore,1,II
cg11405534,N_Shore,5,II
cg09059880,S_Shore,11,II
cg03353047,,10,II
cg05760553,,2,II
cg13022495,,20,II
ch.11.1835930F,,11,II
cg06540198,N_Shore,4,II
cg19101823,,20,II
cg07183880,,1,II
cg16021806,Island,X,I
cg26861706,,15,II
cg19208104,S_Shore,10,II
cg18462193,,8,II
cg20210384,,2,II
cg00992268,,9,II
cg07400418,,1,II
cg03533073,,14,II
cg03799809,S_Shore,9,II
cg15187468,,6,II
cg04896165,,12,II
cg04398932,Island,12,II
cg20160342,,X,II
cg23693380,,19,II
cg08853920,,8,II
cg07482238,,17,II
cg17256192,,5,II
cg13099106,S_Shore,12,II
cg04353150,,15,II
cg05414409,,6,II
cg18053056,N_Shore,16,II
cg25673678,Island,20,II
cg11811017,,2,II
cg06318304,N_Shore,19,II
cg13420647,,1,II
cg15568617,,7,II
cg05960522,,12,II
cg11362664,,17,II
cg22604632,,X,II
cg13044649,,3,II
cg22294278,,19,II
cg02655739,Island,5,II
cg08272325,,8,II
cg15370309,N_Shore,17,II
cg14570051,,18,II
cg03229841,S_Shelf,1,II
cg04118062,Island,12,I
cg26802307,,11,II
cg26101560,Island,11,I
cg18484130,,5,II
cg22345069,,5,II
cg06342430,S_Shore,20,II
cg09438955,Island,13,II
cg22013055,,2,II
cg09496391,,8,II
cg14384774,N_Shore,11,II
cg10008625,,1,II
cg05126421,,7,II
cg20522029,,22,II
cg08739385,S_Shore,1,II
cg01806085,,17,II
cg22820282,N_Shore,20,II
cg05979332,N_Shore,16,I
cg05667197,,7,II
cg08455719,S_Shore,1,II
cg04977991,,22,II
cg12419864,,5,II
cg00125406,S_Shore,4,II
cg03330800,,9,II
cg20057742,N_Shore,7,II
cg11505026,,2,II
cg02195296,,8,II
cg04802210,,13,II
cg27426127,N_Shore,6,II
cg14445547,,1,II
cg07236039,S_Shore,5,II
cg15331792,,1,II
cg13706317,,6,II
cg11120865,S_Shore,14,II
cg19160660,,12,II
cg12856708,,17,II
cg06051250,,15,II
cg05025392,,17,II
cg21136371,Island,11,II
cg01722093,,17,II
cg02061176,,2,II
cg12808990,N_Shelf,17,II
cg20563794,,5,II
cg08672054,,4,II
cg12494126,,7,II
cg23656533,S_Shelf,14,II
cg04044297,Island,13,II
cg10288691,,1,II
cg18712806,Island,17,I
cg09087727,Island,8,II
cg17136243,,22,II
cg05518803,N_Shore,10,II
cg14248717,,9,II
cg10252640,,9,II
cg14339971,,11,II
cg13445467,,2,II
cg07395763,N_Shelf,7,II
cg20191307,N_Shore,17,II
cg00013386,N_Shore,3,II
cg16974516,,2,II
cg16831926,,4,II
cg05489586,,22,II
cg07474051,,12,II
cg10537807,,17,II
cg22882943,,10,II
cg10753966,,3,II
cg07250162,Island,17,II
cg03204051,,14,II
cg07877548,,7,II
cg18700166,,13,II
cg12596218,,2,II
cg09936581,Island,1,II
cg02524864,,8,II
cg06001174,,22,II
cg26210397,,12,II
cg10988643,,17,II
cg20434150,,1,II
cg02348748,N_Shore,X,II
cg05717082,N_Shore,12,II
cg23091777,,11,II
cg15208524,Island,1,I
cg12035174,,3,II
cg04593843,,14,II
cg06765434,N_Shore,18,II
cg11439662,,8,II
cg20708416,,5,II
cg21038785,N_Shore,15,II
